"filename", "language", "GDScript", "GDScene", "comment", "blank", "total"
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Door.gd", "GDScript", 112, 0, 62, 33, 207
"d:\Program\GameProgramming\GameExplorer_V1\scenes\HPBean.gd", "GDScript", 32, 0, 3, 13, 48
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Hp_bean.tscn", "GDScene", 0, 27, 0, 9, 36
"d:\Program\GameProgramming\GameExplorer_V1\scenes\IronSword.tscn", "GDScene", 0, 6, 0, 3, 9
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Key.gd", "GDScript", 40, 0, 13, 16, 69
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Key.tscn", "GDScene", 0, 28, 0, 9, 37
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Player.gd", "GDScript", 354, 0, 101, 109, 564
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Sword.gd", "GDScript", 85, 0, 6, 17, 108
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Sword.tscn", "GDScene", 0, 63, 0, 12, 75
"d:\Program\GameProgramming\GameExplorer_V1\scenes\WeaponData.gd", "GDScript", 6, 0, 1, 1, 8
"d:\Program\GameProgramming\GameExplorer_V1\scenes\door.tscn", "GDScene", 0, 55, 0, 12, 67
"d:\Program\GameProgramming\GameExplorer_V1\scenes\player.tscn", "GDScene", 0, 498, 0, 78, 576
"d:\Program\GameProgramming\GameExplorer_V1\scenes\skelontonEnemy.gd", "GDScript", 367, 0, 66, 99, 532
"d:\Program\GameProgramming\GameExplorer_V1\scenes\skelontonEnemy.tscn", "GDScene", 0, 301, 0, 55, 356
"d:\Program\GameProgramming\GameExplorer_V1\scenes\slime.gd", "GDScript", 105, 0, 28, 33, 166
"d:\Program\GameProgramming\GameExplorer_V1\scenes\slime.tscn", "GDScene", 0, 51, 0, 14, 65
"Total", "-", 1101, 1029, 280, 513, 2923
