"filename", "language", "GDScene", "GDScript", "comment", "blank", "total"
"d:\Program\GameProgramming\GameExplorer_V1\levels\base_level.tscn", "GDScene", -25, 0, 0, -10, -35
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_1.gd", "GDScript", 0, -188, -54, -51, -293
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_1.tscn", "GDScene", -60, 0, 0, -22, -82
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_2.gd", "GDScript", 0, -942, -198, -233, -1373
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_2.tscn", "GDScene", -27, 0, 0, -11, -38
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_3.gd", "GDScript", 0, -28, -51, -9, -88
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_4.gd", "GDScript", 0, -32, -9, -8, -49
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_base.gd", "GDScript", 0, -672, -85, -132, -889
"d:\Program\GameProgramming\GameExplorer_V1\levels\level_manager.gd", "GDScript", 0, -148, -14, -20, -182
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Door.gd", "GDScript", 0, 112, 62, 33, 207
"d:\Program\GameProgramming\GameExplorer_V1\scenes\HPBean.gd", "GDScript", 0, 31, 4, 13, 48
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Hp_bean.tscn", "GDScene", 27, 0, 0, 9, 36
"d:\Program\GameProgramming\GameExplorer_V1\scenes\IronSword.tscn", "GDScene", 6, 0, 0, 3, 9
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Key.gd", "GDScript", 0, 39, 14, 16, 69
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Key.tscn", "GDScene", 28, 0, 0, 9, 37
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Player.gd", "GDScript", 0, 460, 128, 137, 725
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Sword.gd", "GDScript", 0, 85, 6, 17, 108
"d:\Program\GameProgramming\GameExplorer_V1\scenes\Sword.tscn", "GDScene", 63, 0, 0, 12, 75
"d:\Program\GameProgramming\GameExplorer_V1\scenes\WeaponData.gd", "GDScript", 0, 6, 1, 1, 8
"d:\Program\GameProgramming\GameExplorer_V1\scenes\door.tscn", "GDScene", 55, 0, 0, 12, 67
"d:\Program\GameProgramming\GameExplorer_V1\scenes\goblin.gd", "GDScript", 0, 201, 33, 65, 299
"d:\Program\GameProgramming\GameExplorer_V1\scenes\goblin.tscn", "GDScene", 426, 0, 0, 104, 530
"d:\Program\GameProgramming\GameExplorer_V1\scenes\main_menu.gd", "GDScript", 0, 28, 12, 9, 49
"d:\Program\GameProgramming\GameExplorer_V1\scenes\main_menu.tscn", "GDScene", 76, 0, 0, 11, 87
"d:\Program\GameProgramming\GameExplorer_V1\scenes\pause_menu.gd", "GDScript", 0, 26, 19, 11, 56
"d:\Program\GameProgramming\GameExplorer_V1\scenes\pause_menu.tscn", "GDScene", 50, 0, 0, 9, 59
"d:\Program\GameProgramming\GameExplorer_V1\scenes\player.tscn", "GDScene", 498, 0, 0, 78, 576
"d:\Program\GameProgramming\GameExplorer_V1\scenes\settings.gd", "GDScript", 0, 59, 16, 20, 95
"d:\Program\GameProgramming\GameExplorer_V1\scenes\settings.tscn", "GDScene", 85, 0, 0, 17, 102
"d:\Program\GameProgramming\GameExplorer_V1\scenes\skelontonEnemy.gd", "GDScript", 0, 463, 97, 136, 696
"d:\Program\GameProgramming\GameExplorer_V1\scenes\skelontonEnemy.tscn", "GDScene", 303, 0, 0, 55, 358
"d:\Program\GameProgramming\GameExplorer_V1\scenes\slime.gd", "GDScript", 0, 111, 32, 37, 180
"d:\Program\GameProgramming\GameExplorer_V1\scenes\slime.tscn", "GDScene", 53, 0, 0, 14, 67
"Total", "-", 1558, -389, 13, 332, 1514
